,2016,2012,2008,2004,2000,1996,1992,1988
中国奖牌数,70,91,100,63,58,50,54,28
GDP,11.23,8.53,4.59,1.96,1.21,0.86,0.43,0.31
美国奖牌数,121,104,100,101,93,101,108,94
GDP,18.7,16.25,14.77,12.22,10.25,8.07,6.52,5.24
俄罗斯奖牌数,56,67,72,90,89,63,112,132
GDP,1.28,2.21,1.66,0.59,0.26,0.39,0.46,0.55
阿根廷,4,4,6,6,4,3,1,2
GDP,0.56,0.55,0.36,0.16,0.28,0.27,0.23,0.13
澳大利亚,29,35,46,50,58,41,27,14
GDP,1.21,1.55,1.06,0.61,0.42,0.4,0.33,0.24
巴西,19,17,15,10,12,15,3,6
GDP,1.8,2.47,1.7,0.67,0.66,0.85,0.33,0.26
加拿大,22,18,18,12,14,22,18,10
GDP,1.53,1.83,1.55,1.03,0.74,0.63,0.59,0.51
法国,42,35,40,33,38,37,29,16
GDP,2.47,2.68,2.93,2.12,1.37,1.61,1.4,1.02
德国,42,44,41,49,56,65,82,142
GDP,3.47,3.53,3.75,2.81,1.95,2.5,2.13,1.4
印度,2,6,3,1,1,1,0,0
GDP,2.29,1.83,1.2,0.71,0.47,0.4,0.29,0.3
印度尼西亚,3,3,5,4,6,4,5,1
GDP,0.93,0.92,0.51,0.26,0.17,0.23,0.13,0.08
意大利,28,28,28,32,34,35,19,14
GDP,1.88,2.09,2.41,1.81,1.15,1.31,1.32,0.89
日本,41,38,25,37,18,14,22,14
GDP,5,6.27,5.11,4.89,4.97,4.92,3.91,3.07
韩国,21,30,31,30,28,27,29,33
GDP,1.5,1.28,1.05,0.79,0.58,0.61,0.36,0.2
墨西哥,5,8,3,4,6,1,1,2
GDP,1.08,1.2,1.11,0.78,0.71,0.41,0.36,0.18
南非,10,6,1,6,5,5,2,0
GDP,0.32,0.43,0.32,0.26,0.15,0.16,0.15,0.1
土耳其,8,3,8,10,5,6,6,2
GDP,0.87,0.88,0.77,0.41,0.27,0.18,0.16,0.09
英国,67,65,47,30,28,15,20,24
GDP,2.72,2.72,2.94,2.42,1.66,1.42,1.18,0.91
